iter	Passed	Remaining
0	4	4882
1	7	3830
2	9	3262
3	14	3660
4	17	3567
5	23	3929
6	25	3612
7	27	3419
8	28	3159
9	29	2948
10	30	2775
11	31	2629
12	33	2508
13	34	2436
14	35	2342
15	36	2263
16	38	2203
17	39	2133
18	40	2073
19	41	2047
20	43	2030
21	45	2017
22	46	1988
23	48	1967
24	49	1949
25	51	1916
26	52	1881
27	53	1853
28	55	1845
29	57	1852
30	59	1851
31	60	1834
32	62	1827
33	64	1827
34	65	1804
35	66	1780
36	68	1775
37	69	1761
38	71	1760
39	73	1759
40	74	1738
41	75	1717
42	76	1698
43	77	1690
44	79	1684
45	80	1666
46	81	1649
47	82	1633
48	83	1618
49	84	1609
50	86	1612
51	88	1607
52	90	1614
53	92	1617
54	93	1605
55	95	1601
56	96	1594
57	98	1592
58	99	1584
59	100	1577
60	102	1575
61	104	1578
62	106	1578
63	107	1571
64	108	1565
65	110	1557
66	111	1547
67	112	1537
68	113	1527
69	114	1517
70	115	1512
71	116	1502
72	117	1493
73	118	1486
74	120	1482
75	121	1478
76	123	1484
77	124	1476
78	126	1471
79	127	1466
80	128	1458
81	129	1451
82	130	1445
83	132	1440
84	133	1436
85	139	1481
86	141	1486
87	144	1495
88	146	1496
89	147	1489
90	149	1488
91	152	1509
92	154	1503
93	155	1499
94	156	1495
95	158	1492
96	160	1490
97	161	1483
98	162	1476
99	163	1468
100	164	1461
101	165	1455
102	170	1487
103	173	1493
104	175	1499
105	178	1501
106	179	1501
107	182	1504
108	183	1499
109	184	1492
110	185	1485
111	186	1478
112	188	1480
113	190	1479
114	191	1472
115	192	1466
116	193	1459
117	194	1456
118	195	1449
119	197	1451
120	199	1448
121	200	1445
122	202	1440
123	203	1439
124	205	1435
125	206	1430
126	207	1424
127	209	1424
128	210	1422
129	212	1423
130	214	1420
131	215	1414
132	216	1408
133	217	1405
134	218	1401
135	220	1398
136	221	1393
137	222	1387
138	223	1382
139	224	1377
140	225	1373
141	227	1371
142	228	1372
143	230	1369
144	231	1364
145	232	1360
146	234	1359
147	235	1354
148	236	1350
149	237	1343
150	238	1339
151	239	1336
152	241	1336
153	243	1336
154	244	1333
155	245	1328
156	246	1324
157	248	1322
158	249	1319
159	251	1318
160	252	1317
161	254	1314
162	255	1314
163	257	1310
164	258	1310
165	261	1312
166	263	1312
167	264	1311
168	265	1307
169	266	1303
170	268	1300
171	269	1298
172	271	1298
173	273	1296
174	274	1296
175	276	1295
176	278	1296
177	280	1293
178	281	1290
179	282	1288
180	284	1286
181	286	1286
182	288	1286
183	289	1284
184	292	1286
185	293	1285
186	295	1285
187	297	1284
188	299	1283
189	300	1282
190	302	1281
191	303	1279
192	305	1276
193	307	1277
194	309	1276
195	310	1272
196	311	1269
197	312	1265
198	313	1261
199	314	1259
200	316	1256
201	317	1253
202	318	1249
203	319	1245
204	320	1242
205	322	1241
206	323	1241
207	325	1238
208	326	1236
209	327	1232
210	328	1230
211	330	1227
212	331	1225
213	333	1223
214	334	1221
215	335	1218
216	338	1220
217	340	1220
218	342	1221
219	344	1221
220	346	1221
221	348	1222
222	350	1222
223	354	1228
224	356	1228
225	358	1228
226	360	1228
227	362	1227
228	364	1226
229	366	1225
230	368	1226
231	371	1229
232	373	1230
233	375	1230
234	377	1229
235	380	1230
236	382	1231
237	385	1234
238	387	1232
239	388	1230
240	390	1230
241	392	1229
242	393	1227
243	395	1226
244	399	1230
245	402	1232
246	403	1231
247	406	1231
248	408	1230
249	409	1229
250	412	1230
251	414	1231
252	417	1233
253	419	1232
254	421	1231
255	423	1229
256	425	1229
257	427	1228
258	429	1228
259	431	1226
260	433	1227
261	435	1227
262	438	1228
263	440	1227
264	442	1227
265	444	1227
266	447	1227
267	450	1229
268	451	1227
269	453	1226
270	455	1225
271	458	1226
272	460	1225
273	461	1223
274	464	1223
275	467	1225
276	468	1224
277	470	1222
278	472	1221
279	474	1220
280	476	1218
281	477	1216
282	480	1218
283	482	1216
284	484	1215
285	486	1215
286	488	1213
287	490	1212
288	491	1210
289	493	1208
290	495	1207
291	497	1207
292	500	1206
293	501	1205
294	503	1204
295	505	1202
296	507	1201
297	509	1200
298	511	1199
299	513	1198
300	515	1197
301	517	1196
302	519	1194
303	520	1192
304	523	1191
305	525	1190
306	527	1190
307	529	1189
308	531	1187
309	532	1185
310	534	1184
311	536	1182
312	537	1180
313	540	1179
314	542	1179
315	544	1178
316	546	1176
317	548	1175
318	549	1173
319	551	1171
320	553	1170
321	555	1170
322	557	1169
323	559	1167
324	561	1165
325	563	1164
326	564	1162
327	566	1160
328	568	1158
329	569	1157
330	571	1156
331	574	1156
332	576	1155
333	578	1153
334	579	1151
335	581	1149
336	583	1147
337	585	1146
338	587	1144
339	589	1143
340	590	1141
341	592	1140
342	594	1138
343	596	1136
344	598	1135
345	600	1134
346	601	1132
347	603	1130
348	605	1129
349	607	1127
350	609	1126
351	611	1125
352	612	1123
353	614	1121
354	616	1120
355	618	1118
356	620	1117
357	622	1115
358	623	1113
359	625	1111
360	627	1110
361	629	1108
362	631	1107
363	632	1106
364	634	1104
365	637	1103
366	638	1102
367	640	1100
368	642	1099
369	644	1097
370	646	1095
371	648	1094
372	650	1092
373	652	1091
374	653	1089
375	655	1088
376	657	1086
377	659	1085
378	660	1082
379	662	1081
380	664	1078
381	665	1076
382	667	1075
383	669	1074
384	671	1072
385	673	1071
386	675	1069
387	677	1068
388	679	1067
389	681	1066
390	684	1065
391	686	1064
392	688	1063
393	690	1061
394	691	1059
395	693	1057
396	695	1056
397	697	1054
398	699	1053
399	701	1052
400	703	1050
401	705	1049
402	707	1047
403	709	1046
404	711	1045
405	714	1045
406	716	1044
407	719	1043
408	721	1042
409	723	1041
410	726	1041
411	728	1040
412	731	1039
413	733	1038
414	735	1037
415	737	1035
416	739	1034
417	742	1033
418	744	1032
419	746	1030
420	749	1030
421	751	1029
422	754	1028
423	756	1028
424	759	1028
425	763	1028
426	765	1027
427	768	1027
428	771	1026
429	773	1025
430	776	1025
431	779	1025
432	780	1022
433	783	1022
434	786	1021
435	789	1021
436	791	1020
437	794	1019
438	797	1018
439	799	1017
440	801	1015
441	803	1014
442	805	1012
443	807	1010
444	809	1010
445	812	1008
446	814	1007
447	816	1006
448	818	1004
449	821	1003
450	824	1003
451	827	1002
452	829	1001
453	832	1000
454	834	999
455	837	998
456	840	998
457	841	996
458	844	994
459	846	993
460	848	991
461	850	990
462	851	988
463	854	987
464	856	985
465	858	983
466	860	982
467	862	980
468	864	979
469	867	978
470	869	976
471	872	975
472	874	974
473	876	973
474	879	971
475	880	969
476	882	967
477	884	966
478	886	964
479	889	963
480	891	962
481	893	960
482	895	958
483	898	957
484	901	956
485	903	955
486	905	954
487	907	952
488	910	951
489	913	950
490	915	949
491	918	948
492	921	947
493	923	945
494	926	944
495	930	945
496	932	944
497	936	944
498	938	942
499	940	940
500	942	938
501	944	936
502	946	935
503	948	933
504	951	932
505	954	931
506	957	930
507	959	929
508	962	928
509	966	928
510	968	926
511	970	924
512	972	923
513	974	921
514	976	919
515	978	918
516	981	917
517	983	915
518	985	913
519	987	911
520	989	909
521	990	907
522	992	905
523	995	903
524	997	902
525	999	901
526	1002	899
527	1003	897
528	1008	897
529	1014	899
530	1017	898
531	1020	897
532	1026	899
533	1030	898
534	1033	897
535	1035	896
536	1038	895
537	1042	895
538	1045	894
539	1050	894
540	1054	895
541	1057	893
542	1060	892
543	1063	891
544	1065	889
545	1067	887
546	1069	885
547	1072	884
548	1076	884
549	1080	883
550	1082	882
551	1085	880
552	1086	878
553	1097	883
554	1103	884
555	1105	882
556	1108	881
557	1109	878
558	1110	876
559	1111	873
560	1113	871
561	1115	869
562	1116	866
563	1117	863
564	1118	861
565	1119	858
566	1121	856
567	1122	853
568	1124	851
569	1125	849
570	1126	846
571	1128	844
572	1129	841
573	1130	839
574	1132	837
575	1133	834
576	1135	832
577	1137	830
578	1138	828
579	1140	825
580	1142	823
581	1143	821
582	1144	818
583	1145	816
584	1146	813
585	1148	811
586	1150	809
587	1152	807
588	1154	805
589	1155	802
590	1156	800
591	1158	798
592	1159	795
593	1161	794
594	1163	791
595	1167	791
596	1169	789
597	1170	786
598	1172	784
599	1173	782
600	1175	780
601	1176	777
602	1178	775
603	1180	773
604	1181	771
605	1182	768
606	1184	766
607	1186	764
608	1187	762
609	1189	760
610	1190	758
611	1192	755
612	1194	754
613	1195	751
614	1197	749
615	1198	747
616	1200	745
617	1201	742
618	1203	740
619	1204	738
620	1205	735
621	1206	733
622	1207	730
623	1209	728
624	1210	726
625	1212	724
626	1213	722
627	1216	720
628	1218	718
629	1219	716
630	1221	714
631	1223	712
632	1224	710
633	1225	707
634	1226	705
635	1228	703
636	1230	701
637	1232	699
638	1233	696
639	1234	694
640	1236	692
641	1237	690
642	1239	688
643	1240	685
644	1242	683
645	1243	681
646	1244	678
647	1245	676
648	1247	674
649	1249	672
650	1250	670
651	1251	668
652	1253	666
653	1255	664
654	1256	662
655	1258	660
656	1260	658
657	1262	656
658	1264	654
659	1265	651
660	1266	649
661	1267	647
662	1269	645
663	1270	642
664	1271	640
665	1272	638
666	1273	635
667	1275	634
668	1277	631
669	1278	629
670	1279	627
671	1281	625
672	1282	623
673	1284	621
674	1285	619
675	1286	616
676	1287	614
677	1290	612
678	1291	610
679	1293	608
680	1295	606
681	1296	604
682	1298	602
683	1300	600
684	1301	598
685	1302	596
686	1304	594
687	1306	592
688	1307	590
689	1309	588
690	1310	586
691	1312	584
692	1314	582
693	1315	579
694	1317	577
695	1318	575
696	1320	573
697	1321	571
698	1323	570
699	1325	568
700	1327	566
701	1329	564
702	1330	562
703	1332	560
704	1334	558
705	1336	556
706	1337	554
707	1338	552
708	1339	549
709	1341	548
710	1343	546
711	1344	543
712	1346	541
713	1347	539
714	1349	538
715	1351	535
716	1352	533
717	1354	531
718	1355	529
719	1357	527
720	1359	526
721	1361	524
722	1363	522
723	1366	520
724	1372	520
725	1392	525
726	1395	523
727	1397	522
728	1405	522
729	1409	521
730	1412	519
731	1415	518
732	1418	516
733	1420	514
734	1422	512
735	1425	511
736	1428	509
737	1431	508
738	1434	506
739	1436	504
740	1438	502
741	1441	501
742	1442	499
743	1444	496
744	1446	495
745	1448	493
746	1450	491
747	1452	489
748	1455	487
749	1457	485
750	1459	483
751	1461	481
752	1463	480
753	1466	478
754	1468	476
755	1471	474
756	1473	472
757	1475	470
758	1477	469
759	1480	467
760	1482	465
761	1484	463
762	1486	461
763	1488	459
764	1491	458
765	1493	456
766	1495	454
767	1498	452
768	1500	450
769	1502	448
770	1504	446
771	1507	445
772	1509	443
773	1511	441
774	1513	439
775	1516	437
776	1518	435
777	1519	433
778	1522	431
779	1524	429
780	1526	428
781	1530	426
782	1532	424
783	1535	423
784	1540	421
785	1544	420
786	1548	419
787	1552	417
788	1554	415
789	1557	413
790	1560	412
791	1562	410
792	1564	408
793	1566	406
794	1568	404
795	1569	402
796	1570	400
797	1572	398
798	1574	396
799	1577	394
800	1578	392
801	1580	390
802	1582	388
803	1584	386
804	1585	384
805	1587	382
806	1589	380
807	1591	378
808	1592	376
809	1594	373
810	1595	371
811	1596	369
812	1599	367
813	1600	365
814	1601	363
815	1603	361
816	1605	359
817	1607	357
818	1608	355
819	1610	353
820	1611	351
821	1613	349
822	1614	347
823	1617	345
824	1618	343
825	1619	341
826	1621	339
827	1622	337
828	1624	335
829	1626	333
830	1627	330
831	1628	328
832	1630	326
833	1631	324
834	1633	322
835	1634	320
836	1636	318
837	1639	316
838	1640	314
839	1641	312
840	1643	310
841	1644	308
842	1645	306
843	1646	304
844	1648	302
845	1649	300
846	1651	298
847	1653	296
848	1655	294
849	1656	292
850	1657	290
851	1659	288
852	1660	286
853	1662	284
854	1664	282
855	1666	280
856	1668	278
857	1670	276
858	1671	274
859	1672	272
860	1673	270
861	1675	268
862	1676	266
863	1678	264
864	1679	262
865	1681	260
866	1682	258
867	1684	256
868	1686	254
869	1688	252
870	1690	250
871	1691	248
872	1693	246
873	1694	244
874	1695	242
875	1697	240
876	1699	238
877	1701	236
878	1702	234
879	1703	232
880	1706	230
881	1707	228
882	1708	226
883	1710	224
884	1711	222
885	1713	220
886	1715	218
887	1717	216
888	1719	214
889	1720	212
890	1722	210
891	1723	208
892	1724	206
893	1725	204
894	1727	202
895	1729	200
896	1731	198
897	1733	196
898	1734	194
899	1736	192
900	1738	191
901	1740	189
902	1741	187
903	1742	185
904	1744	183
905	1746	181
906	1747	179
907	1748	177
908	1750	175
909	1752	173
910	1753	171
911	1755	169
912	1757	167
913	1759	165
914	1761	163
915	1762	161
916	1763	159
917	1764	157
918	1766	155
919	1768	153
920	1769	151
921	1770	149
922	1772	147
923	1774	145
924	1776	144
925	1777	142
926	1779	140
927	1781	138
928	1782	136
929	1783	134
930	1784	132
931	1785	130
932	1787	128
933	1789	126
934	1790	124
935	1792	122
936	1794	120
937	1796	118
938	1797	116
939	1798	114
940	1799	112
941	1801	110
942	1803	108
943	1804	107
944	1806	105
945	1808	103
946	1810	101
947	1811	99
948	1813	97
949	1815	95
950	1817	93
951	1819	91
952	1820	89
953	1821	87
954	1823	85
955	1826	84
956	1827	82
957	1829	80
958	1830	78
959	1831	76
960	1833	74
961	1835	72
962	1836	70
963	1838	68
964	1840	66
965	1842	64
966	1843	62
967	1844	60
968	1845	59
969	1847	57
970	1848	55
971	1850	53
972	1851	51
973	1854	49
974	1856	47
975	1857	45
976	1858	43
977	1859	41
978	1861	39
979	1862	38
980	1864	36
981	1865	34
982	1867	32
983	1869	30
984	1871	28
985	1873	26
986	1874	24
987	1875	22
988	1877	20
989	1878	18
990	1880	17
991	1881	15
992	1882	13
993	1884	11
994	1887	9
995	1888	7
996	1889	5
997	1890	3
998	1892	1
999	1894	0
